"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40328","CT010 DEVE ATUALIZAR DADOS PESSOAIS COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:50:29 GMT-03:00 2025","passed","Mon Feb 10 10:51:09 GMT-03:00 2025","testathon.test.perfil.PerfilDadosPessoaisTest","Teste Chrome","testathon.test.perfil.PerfilDadosPessoaisTest","testDeveAtualizarDadosComSucesso"
"","70236","CT001.2 ALTERAR SENHA DE ACESSO PARA SENHAS QUE NÃO CONFEREM","TesteNG com Selenium Grid","Mon Feb 10 10:58:04 GMT-03:00 2025","passed","Mon Feb 10 10:59:15 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Chrome","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaSenhasQueNaoConferem"
"","35011","CT008.1 TENTAR REALIZAR TRANSFERENCIA POR PIX ACIMA DO SALDO DA CONTA","TesteNG com Selenium Grid","Mon Feb 10 10:57:03 GMT-03:00 2025","passed","Mon Feb 10 10:57:38 GMT-03:00 2025","testathon.test.transferencia.TransferenciaPixTest","Teste Chrome","testathon.test.transferencia.TransferenciaPixTest","testDeveTentarTransferirPorPixComValorAcimaDoSaldoDaConta"
"","19297","CT010 DEVE ATUALIZAR DADOS PESSOAIS COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:48:06 GMT-03:00 2025","broken","Mon Feb 10 10:48:26 GMT-03:00 2025","testathon.test.perfil.PerfilDadosPessoaisTest","Teste Firefox","testathon.test.perfil.PerfilDadosPessoaisTest","testDeveAtualizarDadosComSucesso"
"","97051","CT001.3 ALTERAR SENHA DE ACESSO PARA SENHAS NO FORMATO INVALIDO","TesteNG com Selenium Grid","Mon Feb 10 11:00:01 GMT-03:00 2025","broken","Mon Feb 10 11:01:38 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Firefox","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaSenhasNoFormatoInvalido"
"","15472","CT006.1 REALIZAR TRANSFERÊNCIA TED COM DADOS INVALIDOS","TesteNG com Selenium Grid","Mon Feb 10 10:57:42 GMT-03:00 2025","passed","Mon Feb 10 10:57:57 GMT-03:00 2025","testathon.test.transferencia.TransferenciaTest","Teste Chrome","testathon.test.transferencia.TransferenciaTest","testTentarTransferirParaContaComDadosInvalidos"
"","97101","CT001.1 ALTERAR SENHA DE ACESSO PARA A MESMA","TesteNG com Selenium Grid","Mon Feb 10 10:54:48 GMT-03:00 2025","broken","Mon Feb 10 10:56:25 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Chrome","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaAMesma"
"","38491","CT004 REALIZAR SAQUE COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:51:49 GMT-03:00 2025","failed","Mon Feb 10 10:52:28 GMT-03:00 2025","testathon.test.saque.SaqueTest","Teste Chrome","testathon.test.saque.SaqueTest","testDeveFazerSaqueComSucesso"
"","26562","CT004.1 REALIZAR SAQUE COM SENHA INVALIDA","TesteNG com Selenium Grid","Mon Feb 10 10:56:35 GMT-03:00 2025","passed","Mon Feb 10 10:57:01 GMT-03:00 2025","testathon.test.saque.SaqueTest","Teste Chrome","testathon.test.saque.SaqueTest","testNaoDeveFazerSaqueComSenhaInvalida"
"","31991","CT008.1 TENTAR REALIZAR TRANSFERENCIA POR PIX ACIMA DO SALDO DA CONTA","TesteNG com Selenium Grid","Mon Feb 10 10:54:51 GMT-03:00 2025","passed","Mon Feb 10 10:55:23 GMT-03:00 2025","testathon.test.transferencia.TransferenciaPixTest","Teste Firefox","testathon.test.transferencia.TransferenciaPixTest","testDeveTentarTransferirPorPixComValorAcimaDoSaldoDaConta"
"","33887","CT005 VALIDAR CADASTRO DE CONTA COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:49:51 GMT-03:00 2025","broken","Mon Feb 10 10:50:25 GMT-03:00 2025","testathon.test.cadastro.CadastroTest","Teste Firefox","testathon.test.cadastro.CadastroTest","testDeveCadastrarComSucesso"
"","72004","CT001.2 ALTERAR SENHA DE ACESSO PARA SENHAS QUE NÃO CONFEREM","TesteNG com Selenium Grid","Mon Feb 10 10:58:38 GMT-03:00 2025","passed","Mon Feb 10 10:59:50 GMT-03:00 2025","testathon.test.perfil.PerfilAcessoTest","Teste Firefox","testathon.test.perfil.PerfilAcessoTest","testTentarAlterarSenhaDeAcessoParaSenhasQueNaoConferem"
"","29679","CT002.1 REALIZAR DEPOSITO COM SENHA INVALIDA","TesteNG com Selenium Grid","Mon Feb 10 10:58:01 GMT-03:00 2025","passed","Mon Feb 10 10:58:31 GMT-03:00 2025","testathon.test.deposito.DepositoTest","Teste Firefox","testathon.test.deposito.DepositoTest","testNaoDeveFazerDepositoComSenhaInvalida"
"","188825","CT007 CADASTRAR CHAVE PIX COM SUCESSO","TesteNG com Selenium Grid","Mon Feb 10 10:45:20 GMT-03:00 2025","passed","Mon Feb 10 10:48:29 GMT-03:00 2025","testathon.test.chavePix.ChavePixTest","Teste Chrome","testathon.test.chavePix.ChavePixTest","testDeveCadastrarChavePixComSucesso"
